TotalCharges,Month-to-month,One year,Two year,PhoneService,tenure
29.85,1,0,0,0,1
1889.5,0,1,0,1,34
108.15,1,0,0,1,2
1840.75,0,1,0,0,45
151.65,1,0,0,1,2
820.5,1,0,0,1,8
1949.4,1,0,0,1,22
301.9,1,0,0,0,10
3046.05,1,0,0,1,28
3487.95,0,1,0,1,62
587.45,1,0,0,1,13
326.8,0,0,1,1,16
5681.1,0,1,0,1,58
5036.3,1,0,0,1,49
2686.05,1,0,0,1,25
7895.15,0,0,1,1,69
1022.95,0,1,0,1,52
7382.25,0,0,1,1,71
528.35,1,0,0,1,10
1862.9,1,0,0,1,21
39.65,1,0,0,0,1
202.25,0,1,0,1,12
20.15,1,0,0,1,1
3505.1,0,0,1,1,58
2970.3,1,0,0,1,49
1530.6,1,0,0,1,30
4749.15,1,0,0,1,47
30.2,1,0,0,0,1
6369.45,0,0,1,1,72
1093.1,1,0,0,1,17
6766.95,0,0,1,1,71
181.65,1,0,0,1,2
1874.45,0,1,0,1,27
20.2,1,0,0,1,1
45.25,1,0,0,1,1
7251.7,0,0,1,1,72
316.9,1,0,0,1,5
3548.3,1,0,0,1,46
3549.25,1,0,0,1,34
1105.4,1,0,0,1,11
475.7,0,1,0,1,10
4872.35,0,0,1,1,70
418.25,0,1,0,1,17
4861.45,0,0,1,1,63
981.45,1,0,0,1,13
3906.7,1,0,0,1,49
97.0,1,0,0,1,2
144.15,1,0,0,1,2
4217.8,0,0,1,1,52
4254.1,0,0,1,1,69
3838.75,1,0,0,1,43
1426.4,1,0,0,1,15
1752.65,1,0,0,1,25
633.3,1,0,0,1,8
4456.35,0,1,0,1,60
1752.55,1,0,0,1,18
6311.2,0,1,0,1,63
7076.35,0,1,0,1,66
894.3,0,0,1,1,34
7853.7,0,0,1,1,72
4707.1,1,0,0,1,47
5450.7,1,0,0,1,60
2962.0,0,0,1,0,72
957.1,0,1,0,1,18
857.25,1,0,0,1,9
244.1,1,0,0,1,3
3650.35,0,1,0,1,47
2497.2,0,0,1,1,31
930.9,0,0,1,1,50
887.35,1,0,0,1,10
49.05,1,0,0,1,1
1090.65,0,1,0,1,52
7099.0,0,0,1,1,64
1424.6,0,0,1,1,62
177.4,1,0,0,1,3
6139.5,0,1,0,1,56
2688.85,0,1,0,1,46
482.25,1,0,0,1,8
2111.3,1,0,0,1,30
1216.6,0,1,0,1,45
79.35,1,0,0,1,1
565.35,1,0,0,0,11
496.9,1,0,0,1,7
4327.5,1,0,0,1,42
973.35,0,0,1,1,49
918.75,1,0,0,1,9
2215.45,0,1,0,1,35
1057.0,0,0,1,1,48
927.1,0,0,1,1,46
1009.25,1,0,0,0,29
2570.2,1,0,0,1,30
74.7,1,0,0,1,1
5714.25,0,0,1,1,66
7107.0,1,0,0,1,65
7459.05,0,0,1,1,72
927.35,1,0,0,1,12
4748.7,0,1,0,1,71
113.85,1,0,0,1,5
1107.2,0,0,1,1,52
2514.5,1,0,0,1,25
20.2,1,0,0,1,1
19.45,1,0,0,1,1
3605.6,0,1,0,1,38
3027.25,0,1,0,0,66
7611.85,0,0,1,1,68
100.2,1,0,0,0,5
7303.05,0,1,0,1,72
927.65,0,1,0,0,32
3921.3,0,1,0,1,43
1363.25,0,0,1,1,72
5238.9,1,0,0,1,55
3042.25,0,1,0,1,52
3954.1,1,0,0,1,43
2868.15,1,0,0,1,37
3423.5,0,0,1,0,64
248.4,1,0,0,1,3
1126.35,0,0,1,0,36
1064.65,1,0,0,1,10
835.15,0,0,1,1,41
2151.6,1,0,0,1,27
5515.45,0,1,0,1,56
112.75,1,0,0,1,6
229.55,1,0,0,1,3
350.35,1,0,0,1,7
62.9,1,0,0,1,4
3027.65,0,0,1,1,33
2135.5,1,0,0,1,27
1723.95,0,0,1,1,72
19.75,1,0,0,1,1
3985.35,0,1,0,0,71
1215.65,1,0,0,1,13
1502.65,1,0,0,0,25
3260.1,0,0,1,1,67
35.45,1,0,0,0,1
81.25,1,0,0,1,2
1188.2,0,0,1,1,43
1778.5,1,0,0,1,23
1277.75,0,0,1,1,64
1170.55,0,0,1,1,57
70.45,1,0,0,1,1
6425.65,0,0,1,1,72
563.65,1,0,0,1,8
5971.25,0,0,1,1,61
5289.05,0,1,0,1,64
1756.2,0,0,1,1,71
6416.7,0,0,1,1,65
61.35,0,1,0,1,3
45.65,1,0,0,1,1
1929.95,0,1,0,1,30
1071.4,1,0,0,1,15
564.35,1,0,0,1,8
655.5,1,0,0,1,7
7930.55,0,1,0,1,70
5215.25,0,0,1,1,62
113.5,1,0,0,1,6
1152.8,1,0,0,1,14
1821.95,1,0,0,1,22
419.9,0,1,0,1,22
1024.0,0,0,1,1,16
251.6,0,0,1,1,10
764.55,1,0,0,1,13
1592.35,1,0,0,1,20
135.2,1,0,0,1,2
3958.25,0,0,1,1,53
233.9,0,1,0,1,11
1363.45,0,0,1,1,69
273.0,1,0,0,1,4
6254.45,0,0,1,1,72
2651.2,1,0,0,0,58
321.4,1,0,0,1,16
3539.25,0,1,0,1,43
242.8,1,0,0,1,2
1181.75,0,0,1,1,14
5000.2,0,1,0,1,53
654.55,0,1,0,1,32
780.2,1,0,0,1,34
1145.7,1,0,0,1,15
503.6,1,0,0,1,7
1559.25,1,0,0,1,15
1252.0,0,1,0,1,61
29.95,1,0,0,0,1
45.3,1,0,0,1,1
662.65,1,0,0,1,8
2453.3,0,1,0,1,33
1111.65,1,0,0,1,13
24.8,1,0,0,0,1
1023.85,1,0,0,1,20
82.15,1,0,0,0,3
244.8,0,1,0,1,13
2379.1,1,0,0,1,40
3173.35,0,1,0,1,43
531.0,1,0,0,1,6
1375.4,0,0,1,1,69
8129.3,0,0,1,1,72
1192.7,0,0,1,1,59
1901.65,1,0,0,1,20
587.4,0,0,1,1,24
6519.75,1,0,0,1,59
8041.65,0,0,1,1,72
20.75,1,0,0,1,1
2681.15,0,1,0,1,27
1112.3,1,0,0,1,14
7405.5,0,0,1,1,71
1033.95,1,0,0,1,13
2958.95,1,0,0,1,44
2684.85,0,1,0,1,33
4179.2,0,0,1,0,72
79.9,1,0,0,1,1
1934.45,1,0,0,1,19
6654.1,0,1,0,1,64
84.5,1,0,0,1,2
25.25,1,0,0,0,1
1124.2,0,0,1,1,61
540.05,0,1,0,1,29
1975.85,1,0,0,1,23
3437.45,1,0,0,0,57
3139.8,0,0,1,0,72
3789.2,0,0,1,0,66
5324.5,0,0,1,1,65
624.6,1,0,0,1,8
268.35,1,0,0,1,4
1836.9,0,0,1,1,71
20.2,0,1,0,1,1
179.35,1,0,0,1,4
219.35,0,1,0,1,12
1288.75,0,1,0,0,24
2545.75,0,1,0,1,31
55.2,1,0,0,1,1
2723.15,1,0,0,1,30
4107.25,0,0,1,1,47
5760.65,0,0,1,1,54
4747.5,1,0,0,1,50
84.6,1,0,0,1,1
1566.9,0,0,1,1,72
702.0,1,0,0,1,29
114.1,1,0,0,1,2
299.05,0,0,1,0,10
1305.95,1,0,0,1,18
1120.3,1,0,0,1,11
284.35,0,0,1,1,16
6350.5,0,0,1,1,72
7878.3,0,0,1,1,72
3187.65,0,1,0,1,41
6126.15,1,0,0,1,65
731.3,1,0,0,1,13
273.4,1,0,0,1,4
2531.8,0,1,0,1,41
1074.3,1,0,0,1,15
48.55,1,0,0,1,1
4298.45,0,1,0,1,42
4619.55,0,1,0,1,51
147.15,1,0,0,1,2
40.2,1,0,0,0,1
2633.3,0,1,0,1,32
193.05,1,0,0,1,10
4103.9,0,0,1,0,67
7008.15,0,0,1,1,61
5791.1,0,1,0,1,50
80.55,1,0,0,1,2
1228.65,1,0,0,0,29
132.2,1,0,0,0,3
1364.3,1,0,0,1,13
4925.35,1,0,0,1,57
1520.1,0,0,1,0,31
5032.25,0,1,0,1,45
5526.75,0,0,1,1,61
1195.25,0,0,1,1,50
2007.25,1,0,0,1,19
1099.6,0,0,1,1,59
1732.95,0,0,1,1,71
1511.2,1,0,0,1,16
3450.15,0,0,1,1,57
24.8,1,0,0,0,1
2172.05,1,0,0,1,20
70.6,1,0,0,1,1
401.1,1,0,0,1,5
5624.85,1,0,0,1,52
1339.8,1,0,0,1,21
771.95,1,0,0,0,14
244.75,1,0,0,1,5
322.9,1,0,0,1,6
498.25,1,0,0,1,10
25.4,1,0,0,1,1
3687.75,1,0,0,1,68
1779.95,1,0,0,1,18
1783.6,0,1,0,1,22
927.15,1,0,0,1,20
70.0,1,0,0,1,1
606.55,1,0,0,1,8
435.4,1,0,0,1,10
1712.7,1,0,0,1,24
2021.2,0,1,0,1,35
1940.8,0,1,0,1,23
567.8,1,0,0,1,6
220.35,1,0,0,1,12
20.25,1,0,0,1,1
5436.45,0,0,1,1,71
3437.5,1,0,0,1,35
3015.75,1,0,0,1,40
73.6,1,0,0,1,1
1509.8,0,1,0,1,23
396.1,1,0,0,1,4
356.65,1,0,0,1,4
4109.0,0,0,1,0,68
3141.7,1,0,0,1,38
1229.1,0,0,1,1,52
2303.35,1,0,0,1,32
2054.4,0,0,1,1,29
3741.85,1,0,0,1,38
3682.45,0,1,0,1,48
19.25,1,0,0,1,1
1886.25,1,0,0,1,22
4895.1,0,0,1,1,43
341.6,1,0,0,1,5
415.55,1,0,0,1,5
5686.4,0,1,0,1,51
1355.1,0,0,1,1,71
3058.65,0,1,0,1,38
2231.05,1,0,0,1,24
3236.35,1,0,0,1,35
4350.1,0,1,0,1,54
4264.0,0,0,1,0,72
44.8,1,0,0,1,1
422.3,0,1,0,1,9
4176.7,0,0,1,0,69
5138.1,1,0,0,1,52
880.05,1,0,0,1,11
139.05,1,0,0,1,2
973.65,1,0,0,0,28
1470.05,1,0,0,1,17
739.35,0,0,1,1,35
161.95,0,1,0,1,8
4422.95,0,1,0,1,46
511.25,1,0,0,1,7
155.8,1,0,0,1,2
5293.95,0,1,0,1,68
4759.85,0,0,1,1,43
6148.45,0,0,1,1,68
3565.65,1,0,0,1,36
6603.0,1,0,0,1,63
1830.1,1,0,0,1,32
6223.8,0,0,1,1,71
4508.65,1,0,0,1,66
1328.15,0,1,0,1,63
865.0,0,1,0,1,41
72.1,1,0,0,1,1
168.2,1,0,0,1,2
1303.5,0,0,1,1,70
996.85,1,0,0,0,23
6430.9,0,1,0,1,64
2278.75,0,0,1,1,37
681.4,0,1,0,1,17
574.35,1,0,0,1,7
371.9,1,0,0,1,4
840.1,1,0,0,0,21
846.0,1,0,0,1,10
889.0,1,0,0,1,16
6823.4,0,0,1,1,64
805.1,1,0,0,0,27
4016.75,0,1,0,1,42
83.75,1,0,0,1,5
3959.15,0,0,1,1,41
2878.55,0,1,0,1,58
945.7,0,0,1,1,47
1373.05,1,0,0,1,18
492.55,1,0,0,1,5
1406.0,1,0,0,1,23
19.15,1,0,0,1,1
6962.85,0,1,0,1,71
8126.65,0,0,1,1,72
690.25,0,1,0,1,33
181.5,1,0,0,1,2
830.8,0,0,1,0,24
5608.4,0,1,0,1,56
3646.8,1,0,0,1,37
3662.25,0,1,0,1,43
25.35,1,0,0,0,1
2566.5,1,0,0,1,25
5308.7,0,0,1,1,61
1410.25,0,1,0,1,17
3339.05,0,1,0,1,41
50.65,1,0,0,1,1
4732.35,0,0,1,0,72
90.85,1,0,0,1,1
5067.45,0,0,1,1,48
214.75,1,0,0,1,11
4874.7,1,0,0,1,55
2348.45,0,1,0,0,42
4063.0,1,0,0,1,44
44.0,1,0,0,1,1
2595.25,1,0,0,1,27
2309.55,1,0,0,1,27
89.3,1,0,0,1,2
367.55,1,0,0,1,19
3944.5,1,0,0,1,42
5965.95,0,0,1,1,66
3694.7,1,0,0,1,33
2524.45,1,0,0,1,34
1803.7,1,0,0,0,33
415.1,0,1,0,1,23
624.15,0,1,0,1,32
237.7,0,1,0,1,11
7007.6,1,0,0,1,69
3848.8,0,1,0,1,68
419.4,0,0,1,1,20
1468.75,0,0,1,1,72
5812.0,0,1,0,1,60
2861.45,1,0,0,1,32
19.9,1,0,0,1,1
19.6,1,0,0,1,1
233.7,1,0,0,1,3
1066.15,0,1,0,1,46
2149.05,1,0,0,1,29
4473.0,1,0,0,1,51
3545.05,1,0,0,1,48
1195.75,1,0,0,1,16
6858.9,0,0,1,1,70
1024.7,0,0,1,1,40
1845.9,1,0,0,1,22
75.3,1,0,0,1,1
132.25,1,0,0,1,5
515.45,1,0,0,1,7
2830.45,0,1,0,1,29
1110.5,0,1,0,1,44
449.3,1,0,0,0,10
2838.55,1,0,0,1,55
5376.4,0,1,0,1,52
858.6,1,0,0,1,10
1395.05,1,0,0,1,18
3975.7,0,1,0,1,68
1182.55,1,0,0,1,61
4784.45,0,0,1,0,72
119.5,1,0,0,1,2
518.9,1,0,0,1,12
899.45,0,0,1,1,41
1183.8,1,0,0,0,26
720.05,0,1,0,1,36
8468.2,0,0,1,1,72
3161.2,1,0,0,1,35
55.05,1,0,0,1,1
1882.55,1,0,0,1,16
5070.4,1,0,0,1,49
6049.5,0,1,0,1,54
1166.7,1,0,0,1,18
2937.65,1,0,0,1,36
6396.45,1,0,0,1,60
69.55,1,0,0,1,1
1270.25,0,0,1,1,52
759.55,1,0,0,1,8
7611.55,0,0,1,1,72
1642.75,0,1,0,1,64
1545.4,1,0,0,1,22
3582.4,1,0,0,0,60
2227.1,1,0,0,1,28
1417.9,0,0,1,1,61
2494.65,1,0,0,1,24
2768.35,0,1,0,1,28
2369.3,0,0,1,1,30
38.0,1,0,0,1,2
75.1,1,0,0,1,1
100.9,1,0,0,1,6
1614.05,1,0,0,1,24
385.9,1,0,0,1,4
673.25,1,0,0,1,7
8404.9,0,0,1,1,72
2799.75,0,0,1,0,70
6538.45,0,0,1,1,64
6588.95,0,1,0,1,72
868.1,0,0,1,1,44
734.35,1,0,0,1,13
330.6,0,1,0,1,17
55.0,1,0,0,1,1
564.4,1,0,0,1,9
1315.35,1,0,0,1,24
74.7,1,0,0,1,1
1861.5,1,0,0,1,24
2747.2,1,0,0,1,35
554.05,1,0,0,1,7
453.4,1,0,0,1,5
994.8,1,0,0,1,15
225.75,0,0,1,1,11
2145.0,1,0,0,0,48
1671.6,1,0,0,1,20
8003.8,0,1,0,1,72
680.05,1,0,0,1,8
6130.85,0,0,1,1,72
1415.0,1,0,0,1,15
6201.95,0,0,1,1,72
2279.0,0,0,1,0,0
74.35,1,0,0,1,1
6597.25,0,0,1,1,63
114.15,1,0,0,1,2
139.4,1,0,0,1,2
3902.6,0,1,0,1,61
20.4,1,0,0,1,1
903.6,0,1,0,0,22
1785.65,1,0,0,1,28
1397.65,0,0,1,1,70
131.05,1,0,0,0,5
1238.45,1,0,0,1,12
3899.05,0,1,0,1,34
5676.0,0,0,1,1,71
4543.15,0,1,0,1,70
4326.8,1,0,0,1,52
